Date,Town,lat,lon,Description
1452–53,Mainz,8.2791,49.98419,Gutenberg Bible
~1457,Bamberg,10.886944,49.891389,Pfister: first woodcut book illustration c. 1461
1460,Strassburg,7.745833,48.583333,In 1605 Johann Carolus publishes the German Relation aller Fuernemmen und gedenckwuerdigen Historien (Collection of all distinguished and commemorable news) recognized by the World Association of Newspapers as the first newspaper.
~1465,Cologne,9.9418,45.57862,
1468,Augsburg,10.89851,48.37154,
Not later than 1469,Nuremberg,11.0775,49.453889,Nuremberg Chronicle
~1471,Speyer,8.43111,49.32083,
~1472,Lauingen,10.42706,48.56775,
1473,Esslingen am Neckar,9.316667,48.733333,
1473,Merseburg,11.98923,51.35478,
1473,Ulm,9.99155,48.39841,
~1473–74,Erfurt,11.03283,50.9787,
~1474,Lübeck,10.68729,53.86893,1488 Missale Aboense and other versions first books for the Scandinavian and Finnish markets by Bartholomeus Ghotan
1475,Breslau (now Wrocław),17.0325,51.11,Kasper's print shop remained operational until 1483 with an overall output of 11 titles.
1475,Trento,11.12108,46.06787,
~1475,Blaubeuren,9.78427,48.41215,
~1475,Rostock,12.14049,54.0887,
1476,Reutlingen,9.20427,48.49144,
~1478–79,Memmingen,10.18527,47.98372,
1479,Würzburg,9.95121,49.79391,
1479,Magdeburg,11.62916,52.12773,
1480,Passau,13.43122,48.5665,
1480,Leipzig,12.37129,51.33962,
~1480,Eichstätt,11.19675,48.88854,
1482,Vienna,16.37208,48.20849,
1482,Munich,11.57549,48.13743,
~1482,Heidelberg,8.69079,49.40768,
1484,Ingolstadt,11.42372,48.76508,
1485,Münster,7.62571,51.96236,
~1485,Regensburg,12.10161,49.01513,
1486,Schleswig,9.5586,54.52156,
~1486,Stuttgart,9.18,48.7775,
~1488,Hamburg,9.99302,53.55073,
1489,Hagenau,7.79,48.82,
1491,Freiburg,7.85222,47.9959,
1465,Subiaco,13.1,41.933333,
1467,Rome,12.483333,41.9,
1469,Venice,12.335833,45.4375,Johann was granted a privilege for 5 years for movable type printing by the Senate but died soon after. In 1501 Ottaviano Petrucci produced the first book of sheet music printed from movable type.
1470,Milan,9.19,45.466944,
1470,Naples,14.248611,40.835833,
1471,Florence,11.254167,43.771389,Earliest printing in Greek
1471,Genoa,8.932778,44.411111,
1471,Ferrara,11.62057,44.83804,
1471,Bologna,11.33875,44.49381,Probably in 1477 claimed to have the first engraved illustrations although the 1476 Boccaccio edition by Colard Mansion in Bruges already had copper engravings
1471,Padua,11.866667,45.416667,
1471,Treviso,12.2416,45.66673,
1472,Parma,10.32618,44.79935,
1473,Pavia,9.154167,45.185,
1473,Brescia,10.21472,45.53558,
~1473–74,Modena,10.92539,44.64783,
1483,Soncino,9.86845,45.40033,
1484,Siena,11.33064,43.31822,
1470,Paris,2.3488,48.85341,
1473,Lyon,4.84671,45.74846,
~1475,Toulouse,1.44367,43.60426,
1476–77,Angers,-0.55202,47.47156,
~1477–78,Vienne,4.87484,45.52569,
1478–79,Chablis,3.79835,47.81386,
1479,Poitiers,0.34348,46.58261,
1480,Caen,-0.35912,49.18585,
1480–82,Rouen,1.09932,49.44313,
1483,Troyes,4.08524,48.30073,
1484–85,Rennes,-1.67429,48.11198,
1486,Abbeville,1.83547,50.10521,
~1486–88,Besançon,6.01815,47.24878,
1490–91,Orléans,1.90389,47.90289,
1491,Dijon,5.01667,47.31667,
1491,Angoulême,0.15345,45.64997,
1493,Nantes,-1.55336,47.21725,
1493–94,Tours,0.70398,47.39484,
1495–96,Limoges,1.24759,45.83362,
1497,Avignon,4.80892,43.94834,
1500,Perpignan,2.89541,42.69764,
1473,Utrecht,5.121667,52.090833,
1477,Gouda,4.70833,52.01667,
1477,Deventer,6.16389,52.255,
1477,Zwolle,6.1,52.516667,
1477,Delft,4.35556,52.00667,
1483,Haarlem,4.63683,52.38084,
1472,Budapest,19.04045,47.49835,The first work printed on Hungarian soil was the Latin history book Chronica Hungarorum published on 5 June 1472.
1473,Kraków,19.93658,50.06143,The oldest printed work in Poland is the Latin Calendarium cracoviense (Cracovian Calendar) a single-sheet astronomical almanac for the year 1474. Although Straube continued to published in Kraków until 1477 printing became permanently established in Kraków and Poland only after 1503. In 1491 the first book in Cyrillic script was published by Schweipolt Fiol from Franconia. In 1513 Florian Ungler printed Hortulus Animae the first book in the Polish language.
1499,Danzig,18.645278,54.3475,1538: Wisby'sches Waterrecht 1540: Narratio Prima
1580,Warsaw,21.011111,52.23,
1593,Lviv,24.032222,49.8425,
~1475–76,Plzen,13.3775,49.7475,Statuta Ernesti (1476 Latin) The New Testament (1476 two editions in Czech) Passionale The Chronicle of Troy (c. 1476 Czech)
1486,Brno,16.60796,49.19522,Agenda Olomucensis 1486 and further 20 partly small prints in Latin until 1488.
1487,Prague,14.42076,50.08804,The Chronicle of Troy 1487 Psalter 1487 The Bible 1488 (all in Czech); since 1512 printing in Hebrew since 1517 in Cyrillic too.
1489,Kutná Hora,15.26816,49.94839,The Bible (in Czech)
1476,Westminster,-0.135278,51.494722,The first dated prints in England are an indulgence dating to 13 December 1476 (date written in by hand) and the Dicts or Sayings completed on 18 November 1477. Between 1472 and 1476 Caxton had already published several English works on the continent (see Bruges above).
1478,Oxford,-0.135278,51.494722,
~1479,St Albans,-0.33333,51.75,The St Albans Press produced eight known prints including The Chronicles of England.
1480,London,-0.133333,51.5,
1482,Odense,10.38831,55.39594,Snell was the first to introduce printing both in Denmark and Sweden.
1493,Copenhagen,12.56553,55.67594,Von Ghemen published in Copenhagen from 1493 to 1495 and from 1505 to 1510. In the meantime he was active in the Dutch town of Leiden. For 200 years official policy confined printing in Denmark largely to Copenhagen.
1483,Stockholm,18.06871,59.32938,Snell published the Dialogus creaturarum on Riddarholmen island in Stockholm on December 20 1483.
Before 1495,Vadstena,14.88969,58.44863,
1510,Uppsala,17.63889,59.85882,
