Owner,Latitude,Longitude,Name
Azure,37.3719,-79.8164,East US
Azure,36.6681,-78.3889,East US 2
Azure,29.4167,-98.5,South Central US
Azure,47.233,-119.852,West US 2
Azure,33.448376,-112.074036,West US 3
Azure,-33.86,151.2094,Australia East
Azure,1.283,103.833,Southeast Asia
Azure,53.3478,-6.2597,North Europe
Azure,60.67488,17.14127,Sweden Central
Azure,50.941,-0.799,UK South
Azure,52.3667,4.9,West Europe
Azure,41.5908,-93.6208,Central US
Azure,-25.73134,28.21837,South Africa North
Azure,18.5822,73.9197,Central India
Azure,22.267,114.188,East Asia
Azure,35.68,139.77,Japan East
Azure,37.5665,126.978,Korea Central
Azure,43.653,-79.383,Canada Central
Azure,46.3772,2.373,France Central
Azure,50.110924,8.682127,Germany West Central
Azure,45.46888,9.18109,Italy North
Azure,59.913868,10.752245,Norway East
Azure,52.23334,21.01666,Poland Central
Azure,47.451542,8.564572,Switzerland North
Azure,25.266666,55.316666,UAE North
Azure,-23.55,-46.633,Brazil South
Azure,31.907653,35.007614,Israel Central
Azure,25.551462,51.439327,Qatar Central
Azure,37.3719,-79.8164,East US STG
Azure,41.8819,-87.6278,North Central US
Azure,37.783,-122.417,West US
Azure,34.6939,135.5022,Japan West
Azure,22.470701,70.05773,Jio India West
Azure,40.89,-110.234,West Central US
Azure,-34.075691,18.843266,South Africa West
Azure,-35.3075,149.1244,Australia Central
Azure,-35.3075,149.1244,Australia Central 2
Azure,-37.8136,144.9631,Australia Southeast
Azure,21.146633,79.08886,Jio India Central
Azure,35.1796,129.0756,Korea South
Azure,12.9822,80.1636,South India
Azure,19.088,72.868,West India
Azure,46.817,-71.217,Canada East
Azure,43.8345,2.1972,France South
Azure,53.073635,8.806422,Germany North
Azure,58.969975,5.733107,Norway West
Azure,46.204391,6.143158,Switzerland West
Azure,53.427,-3.084,UK West
Azure,24.466667,54.366669,UAE Central
Azure,-22.90278,-43.2075,Brazil Southeast
IBM Cloud,32.77822,-96.79512,Dallas
IBM Cloud,45.508867,-73.554242,Montreal
IBM Cloud,37.33865,-121.88542,San Jose
IBM Cloud,-23.56287,-46.65468,Sao Paulo
IBM Cloud,43.653524,-79.383907,Toronto
